epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,752.099,0.52969,0.29341,1.00228,0.99506,0.99931,0.99493,0.91169,0.51242,0.22625,0.99505,0.0011684,0.0011684,0.0011684
44,772.087,0.52478,0.28261,1.00899,0.99752,0.99981,0.99498,0.90867,0.52301,0.21926,1.01821,0.0011486,0.0011486,0.0011486
45,788.887,0.52062,0.28162,1.00363,0.99129,1,0.99487,0.89875,0.54173,0.23022,1.02171,0.0011288,0.0011288,0.0011288
46,808.444,0.53111,0.28095,1.01328,0.99445,1,0.99495,0.90468,0.51616,0.22086,0.99792,0.001109,0.001109,0.001109
47,825.116,0.52746,0.28516,1.0107,0.99588,1,0.99493,0.90686,0.52264,0.22229,1.00574,0.0010892,0.0010892,0.0010892
48,841.555,0.52927,0.28471,1.00845,0.99465,1,0.99495,0.9062,0.52217,0.22254,1.02195,0.0010694,0.0010694,0.0010694
49,861.033,0.51639,0.2793,0.9998,0.99457,1,0.99498,0.89369,0.53074,0.22397,1.00495,0.0010496,0.0010496,0.0010496
50,877.758,0.50553,0.27707,0.98907,0.99483,1,0.9949,0.90766,0.52902,0.2263,1.00826,0.0010298,0.0010298,0.0010298
51,897.054,0.50218,0.27906,0.98787,0.99381,1,0.99495,0.9033,0.52343,0.22781,1.00223,0.00101,0.00101,0.00101
52,913.94,0.51779,0.28175,0.99275,0.99472,1,0.99492,0.9064,0.50836,0.21804,0.9953,0.0009902,0.0009902,0.0009902
53,931.539,0.50362,0.27173,0.99626,0.99642,1,0.99493,0.89498,0.54259,0.2223,1.01821,0.0009704,0.0009704,0.0009704
54,949.687,0.49459,0.27141,0.99104,0.99505,0.99827,0.99498,0.90152,0.51927,0.2159,1.01922,0.0009506,0.0009506,0.0009506
55,965.388,0.51446,0.28417,1.00359,0.99506,0.99891,0.9948,0.89513,0.53802,0.23147,1.03826,0.0009308,0.0009308,0.0009308
56,983.837,0.49832,0.27408,0.99096,0.99236,1,0.99485,0.90861,0.51065,0.22702,0.99766,0.000911,0.000911,0.000911
57,999.898,0.49415,0.27463,0.9864,0.99233,1,0.99495,0.90739,0.52195,0.22182,0.99288,0.0008912,0.0008912,0.0008912
58,1016.21,0.49773,0.26691,0.98261,0.99506,0.9995,0.99493,0.90039,0.53712,0.21508,1.02125,0.0008714,0.0008714,0.0008714
59,1035.83,0.50011,0.26549,0.98339,0.99741,1,0.99498,0.90401,0.52147,0.21231,0.9947,0.0008516,0.0008516,0.0008516
60,1053.3,0.49699,0.26557,0.98303,0.99752,0.99962,0.99493,0.90535,0.51212,0.20477,0.99255,0.0008318,0.0008318,0.0008318
61,1073.36,0.47908,0.25979,0.9761,0.99485,1,0.995,0.90594,0.52103,0.21214,1.00155,0.000812,0.000812,0.000812
62,1090.77,0.47631,0.26031,0.97155,0.99506,0.99997,0.99495,0.90946,0.52462,0.21412,0.99054,0.0007922,0.0007922,0.0007922
63,1108.07,0.48385,0.25672,0.97266,0.99463,1,0.99498,0.90474,0.52132,0.21121,0.99359,0.0007724,0.0007724,0.0007724
64,1128.53,0.47439,0.25572,0.96299,0.99178,1,0.99488,0.90596,0.52327,0.21254,0.98705,0.0007526,0.0007526,0.0007526
